City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Bonthe,SL,77.22,clear sky,7.5264,-12.505,Bonthe Holiday Village
7,New Norfolk,AU,77.67,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
11,Bintulu,MY,82.81,scattered clouds,3.1667,113.0333,900 Boutique INN
12,Rikitea,PF,77.68,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Camocim,BR,76.15,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
17,Lethem,GY,77.88,broken clouds,3.3803,-59.7968,Savannah Inn
23,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
24,Souillac,MU,84.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
36,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Saint-Philippe,RE,85.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,Vaini,TO,82.13,clear sky,-21.2,-175.2,Keleti Beach Resort
50,Gouyave,GD,75.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
59,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
60,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
62,Saint-Joseph,RE,84.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
64,Noumea,NC,82.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
67,Bima,ID,84.94,broken clouds,-8.4667,118.7167,Lambitu Hotel
68,Hobart,AU,78.03,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
71,Ambulu,ID,79.21,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
73,Kavieng,PG,79.75,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
79,Pontianak,ID,82.38,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
84,Amahai,ID,86.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
85,Arraial Do Cabo,BR,75.7,clear sky,-22.9661,-42.0278,Pousada Porto Praia
