,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sarkand,KZ,45.41,79.9186,28.74,96,100,3.31,light snow
1,Ornskoldsvik,SE,63.2909,18.7153,28.22,68,100,18.41,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,-14.71,76,40,8.05,scattered clouds
3,Bethel,US,41.3712,-73.414,45.05,66,75,5.75,broken clouds
4,Upernavik,GL,72.7868,-56.1549,27.82,85,100,3.04,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,74,5.75,broken clouds
6,Bonthe,SL,7.5264,-12.505,77.22,81,7,3.11,clear sky
7,New Norfolk,AU,-42.7826,147.0587,77.67,25,73,1.99,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,4.61,clear sky
9,Half Moon Bay,US,37.4636,-122.4286,55.62,88,100,4.61,mist
10,Zhigansk,RU,66.7697,123.3711,-18.71,97,100,18.7,overcast clouds
11,Bintulu,MY,3.1667,113.0333,82.81,78,40,5.75,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,77.68,78,100,13.98,overcast clouds
13,Camocim,BR,-2.9022,-40.8411,76.15,89,23,7.83,few clouds
14,Hilo,US,19.7297,-155.09,74.93,88,100,9.22,overcast clouds
15,Ilulissat,GL,69.2167,-51.1,41.02,56,100,18.41,overcast clouds
16,Mehamn,NO,71.0357,27.8492,30.15,80,40,31.07,scattered clouds
17,Lethem,GY,3.3803,-59.7968,77.88,76,82,12.1,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,62.11,91,57,2.3,broken clouds
19,Albany,US,42.6001,-73.9662,41.61,78,100,5.64,overcast clouds
20,Tashigang,BT,27.3331,91.5542,59.05,37,75,2.71,broken clouds
21,Aklavik,CA,68.2191,-135.0107,-15.77,97,100,8.23,overcast clouds
22,Cherskiy,RU,68.75,161.3,-41.58,99,36,3.62,scattered clouds
23,Avarua,CK,-21.2078,-159.775,78.85,83,100,8.05,overcast clouds
24,Souillac,MU,-20.5167,57.5167,84.36,83,40,12.66,scattered clouds
25,Road Town,VG,18.4167,-64.6167,77.0,71,3,21.43,clear sky
26,Guerrero Negro,MX,27.9769,-114.0611,60.94,84,63,8.68,broken clouds
27,Castro,BR,-24.7911,-50.0119,63.59,94,5,3.53,clear sky
28,Hisor,TJ,38.525,68.5512,35.35,54,0,3.38,clear sky
29,Flinders,AU,-34.5833,150.8552,74.21,64,88,15.48,overcast clouds
30,Teya,RU,60.3778,92.6267,10.87,93,100,6.06,overcast clouds
31,Jamestown,US,42.097,-79.2353,28.29,61,100,7.0,overcast clouds
32,Sitka,US,57.0531,-135.33,39.09,93,100,0.0,moderate rain
33,Mamlyutka,KZ,54.9375,68.5394,8.62,92,98,7.56,overcast clouds
34,Lebu,CL,-37.6167,-73.65,52.57,86,2,5.53,clear sky
35,Thompson,CA,55.7435,-97.8558,-21.84,76,0,4.61,clear sky
36,Carnarvon,AU,-24.8667,113.6333,84.27,65,0,12.66,clear sky
37,Bluff,NZ,-46.6,168.3333,53.8,82,100,24.74,overcast clouds
38,Makaryev,RU,57.8797,43.8069,17.94,94,100,13.24,light snow
39,Nyurba,RU,63.2842,118.3319,-1.73,94,100,7.4,overcast clouds
40,Shelburne,CA,44.0787,-80.2041,19.29,80,99,14.88,overcast clouds
41,Tourlaville,FR,49.6383,-1.5664,45.66,75,75,9.22,broken clouds
42,Saint-Philippe,RE,-21.3585,55.7679,85.55,81,57,1.95,broken clouds
43,Richards Bay,ZA,-28.783,32.0377,71.31,88,56,2.24,broken clouds
44,Praya,CV,14.9215,-23.5087,70.34,83,20,13.8,few clouds
45,Ushuaia,AR,-54.8,-68.3,45.68,78,12,3.62,few clouds
46,Vaini,TO,-21.2,-175.2,82.13,83,2,19.55,clear sky
47,Cerritos,US,33.8583,-118.0648,59.95,85,0,1.01,clear sky
48,Brae,GB,60.3964,-1.353,35.51,54,100,28.59,overcast clouds
49,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.39,71,100,17.27,overcast clouds
50,Gouyave,GD,12.1646,-61.7296,75.97,83,40,13.8,scattered clouds
51,Chuy,UY,-33.6971,-53.4616,73.18,97,1,4.83,clear sky
52,Port Hardy,CA,50.6996,-127.4199,51.76,87,100,23.02,overcast clouds
53,Qaanaaq,GL,77.484,-69.3632,-9.74,65,0,9.15,clear sky
54,Airai,TL,-8.9266,125.4092,61.41,96,100,0.63,light rain
55,Longyearbyen,SJ,78.2186,15.6401,17.44,73,40,10.36,scattered clouds
56,Taltal,CL,-25.4,-70.4833,67.84,78,1,2.91,clear sky
57,Hermanus,ZA,-34.4187,19.2345,61.9,74,80,2.39,broken clouds
58,Pisco,PE,-13.7,-76.2167,71.65,78,0,14.97,clear sky
59,Belmonte,BR,-15.8631,-38.8828,77.5,84,1,4.83,clear sky
60,Cayenne,GF,4.9333,-52.3333,76.08,90,0,0.0,clear sky
61,Mataura,NZ,-46.1927,168.8643,53.47,79,100,6.42,light rain
62,Saint-Joseph,RE,-21.3667,55.6167,84.56,81,47,2.39,light rain
63,Rio Gallegos,AR,-51.6226,-69.2181,51.85,87,7,14.97,haze
64,Noumea,NC,-22.2763,166.4572,82.99,99,51,18.12,light rain
65,Chokurdakh,RU,70.6333,147.9167,-34.08,97,73,3.71,broken clouds
66,Sintea Mare,RO,46.5167,21.6,23.88,88,8,4.99,clear sky
67,Bima,ID,-8.4667,118.7167,84.94,71,63,4.9,broken clouds
68,Hobart,AU,-42.8794,147.3294,78.03,38,40,13.8,scattered clouds
69,East London,ZA,-33.0153,27.9116,68.94,83,0,10.36,clear sky
70,Tuatapere,NZ,-46.1333,167.6833,53.82,66,100,10.45,light rain
71,Ambulu,ID,-8.345,113.6058,79.21,83,100,1.19,overcast clouds
72,Ahar,IR,38.4774,47.0699,22.73,96,93,1.99,snow
73,Kavieng,PG,-2.5744,150.7967,79.75,84,100,16.11,light rain
74,Narsaq,GL,60.9167,-46.05,44.82,97,100,12.28,moderate rain
75,Marsa Matruh,EG,31.3525,27.2453,52.0,58,40,10.36,scattered clouds
76,Paamiut,GL,61.994,-49.6678,33.84,97,100,30.13,snow
77,Hofn,IS,64.2539,-15.2082,30.18,52,48,3.62,scattered clouds
78,Manta,EC,-0.95,-80.7333,76.78,83,75,6.91,broken clouds
79,Pontianak,ID,-0.0333,109.3333,82.38,83,75,5.75,broken clouds
80,Katsuura,JP,35.1333,140.3,46.51,52,19,14.9,few clouds
81,Kaitangata,NZ,-46.2817,169.8464,55.92,65,100,13.78,overcast clouds
82,Khatanga,RU,71.9667,102.5,-10.66,98,100,7.74,overcast clouds
83,Boguchany,RU,58.3814,97.4531,11.16,94,94,4.29,overcast clouds
84,Amahai,ID,-3.3333,128.9167,86.32,63,100,3.69,overcast clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,75.7,91,0,17.34,clear sky
86,Nikolskoye,RU,59.7035,30.7861,36.88,89,100,10.33,light snow
87,Butaritari,KI,3.0707,172.7902,82.0,77,100,17.02,overcast clouds
88,Lagos,NG,6.5833,3.75,79.12,41,6,4.54,clear sky
89,Carutapera,BR,-1.195,-46.02,76.59,90,52,6.73,broken clouds
90,Karaton,ID,-6.3424,106.1045,80.96,90,100,3.96,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,84.25,83,40,12.66,scattered clouds
92,Cockburn Town,TC,21.4612,-71.1419,78.28,77,0,20.54,clear sky
93,Saskylakh,RU,71.9167,114.0833,-14.53,92,94,7.2,overcast clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,42.73,80,100,15.01,overcast clouds
95,Douglas,US,41.3,-96.167,8.51,65,0,1.99,clear sky
96,Bambous Virieux,MU,-20.3428,57.7575,84.22,83,40,12.66,scattered clouds
97,Yanam,IN,16.7333,82.2167,75.6,66,85,1.59,overcast clouds
98,Ledyard,US,41.4398,-72.0142,44.08,80,0,1.01,clear sky
99,Roura,GF,4.7263,-52.3274,75.96,94,0,0.0,clear sky
100,Kahului,US,20.8947,-156.47,78.06,81,40,6.91,scattered clouds
101,Sur,OM,22.5667,59.5289,75.04,67,1,3.22,clear sky
102,Manokwari,ID,-0.8667,134.0833,82.96,74,93,10.2,overcast clouds
103,Yulara,AU,-25.2406,130.9889,91.24,38,75,12.66,broken clouds
